id,common_name,scientific_name,confidence,rank,start_time,end_time,audio_path,county,lat,lon,date,ARU_ID
1,Wrentit,Chamaea fasciata,0.6,1,6469.55,6481.55,audio/test2.flac,El Dorado,38.8629,-120.98969,2026-03-23,1556
2,Dog barks,NA,0.369,1,11431.89,11443.89,,San Bernardino,34.53716,-115.02921,2026-01-15,1213
3,Sooty grouse,Dendragapus fuliginosus,0.643,3,757.46,769.46,,Santa Barbara,34.42366,-120.58807,2026-01-04,3332
4,Sooty grouse,Dendragapus fuliginosus,0.843,2,1712.92,1724.92,,Mono,38.13757,-117.89407,2026-04-05,2452
5,Downy woodpecker call,Dryobates pubescens,0.425,1,13806.95,13818.95,,Sacramento,38.26908,-121.81004,2026-02-05,4653
6,Sooty grouse,Dendragapus fuliginosus,0.795,2,8806.07,8818.07,audio/test2.flac,Kern,35.18333,-118.8492,2026-02-01,4653
7,Sooty grouse,Dendragapus fuliginosus,0.972,2,4454.6,4466.6,audio/test3.flac,San Joaquin,37.8701,-121.04796,2026-01-29,1556
8,Marbled murrelet,Brachyramphus marmoratus,0.911,1,7293.97,7305.97,audio/test2.flac,Imperial,32.67411,-115.83763,2026-01-18,2452
9,Canada goose,Branta canadensis,0.608,1,10421.67,10433.67,audio/test1.flac,Inyo,36.34552,-117.91838,2026-04-05,9874
10,Downy woodpecker call,Dryobates pubescens,0.713,2,12582.4,12594.4,audio/test3.flac,Imperial,32.9532,-115.72852,2026-01-14,2452
11,Northern flicker 'skew',Colaptes auratus,0.911,3,12273.93,12285.93,,Merced,37.26165,-120.85337,2026-03-28,4653
12,Common nighthawk boom,Chordeiles minor,0.999,3,9749.8,9761.8,audio/test3.flac,Inyo,35.90713,-118.00685,2026-04-05,3332
13,Downy woodpecker call,Dryobates pubescens,0.699,2,10511.8,10523.8,,Los Angeles,33.86828,-117.91571,2026-04-25,3332
14,Great horned owl,Bubo virginianus,0.524,3,12677.74,12689.74,audio/test1.flac,Ventura,34.13182,-119.28476,2026-03-11,4653
15,Common nighthawk boom,Chordeiles minor,0.715,3,3167.26,3179.26,audio/test1.flac,Marin,38.05294,-122.58465,2026-01-12,9874
16,Swainson's thrush,Catharus ustulatus,0.856,3,11815.12,11827.12,,Inyo,36.7425,-116.55401,2026-03-17,4653
17,Wrentit,Chamaea fasciata,0.698,2,12712.56,12724.56,audio/test1.flac,Plumas,39.62724,-120.36754,2026-02-24,3332
18,Downy woodpecker call,Dryobates pubescens,0.644,1,174.66,186.66,,Modoc,41.48938,-120.81243,2026-01-05,2452
19,Woodpecker spp. drum,NA,0.855,2,6244.02,6256.02,audio/test1.flac,Contra Costa,37.84334,-121.72188,2026-01-04,4653
20,Common raven,Corvus corax,0.999,2,12732.91,12744.91,audio/test3.flac,Colusa,39.24993,-122.10413,2026-01-12,9874
21,Dog barks,NA,0.187,2,11736.64,11748.64,audio/test3.flac,Los Angeles,34.0283,-118.30513,2026-01-28,2452
22,Hermit thrush,Catharus guttatus,0.945,1,11684.92,11696.92,,Santa Clara,37.42436,-121.90134,2026-01-30,3332
23,Northern flicker 'skew',Colaptes auratus,0.749,1,12104.93,12116.93,,Monterey,36.33977,-120.30989,2026-03-06,2452
24,Wolf howl,Canis lupus,0.882,2,8439.12,8451.12,audio/test2.flac,Mariposa,37.43287,-119.95661,2026-03-19,9874
25,Canada goose,Branta canadensis,0.772,1,5482.85,5494.85,audio/test2.flac,Mono,37.96063,-118.75529,2026-01-04,2452
26,Northern flicker 'skew',Colaptes auratus,0.98,3,7247.91,7259.91,audio/test1.flac,Fresno,37.42524,-119.3264,2026-03-13,1213
27,Common nighthawk call,Chordeiles minor,0.838,1,4048.31,4060.31,audio/test2.flac,Riverside,33.63349,-116.11208,2026-01-26,1334
28,Steller's jay,Cyanocitta stelleri,0.684,1,8825.57,8837.57,audio/test1.flac,Sierra,39.49178,-120.8816,2026-04-02,3332
29,Common nighthawk boom,Chordeiles minor,0.566,1,2605.41,2617.41,audio/test1.flac,Colusa,39.45735,-122.35365,2026-03-25,1213
30,Woodpecker spp. drum,NA,0.884,3,8666.6,8678.6,audio/test3.flac,Trinity,40.50881,-123.4052,2026-03-31,4653
31,Marbled murrelet,Brachyramphus marmoratus,0.658,3,1452.83,1464.83,audio/test1.flac,Shasta,40.64059,-122.10834,2026-03-11,1334
32,Wrentit,Chamaea fasciata,0.821,3,8338.16,8350.16,audio/test2.flac,Kings,36.477,-119.53048,2026-02-23,1213
33,Swainson's thrush,Catharus ustulatus,0.796,1,12680.47,12692.47,audio/test3.flac,Siskiyou,41.40295,-122.13102,2026-01-29,4653
34,Steller's jay,Cyanocitta stelleri,0.846,1,2245.06,2257.06,audio/test2.flac,Inyo,37.25985,-118.45753,2026-02-27,9874
35,Great horned owl,Bubo virginianus,0.507,1,12581.14,12593.14,audio/test2.flac,Tulare,36.32912,-118.30327,2026-03-17,1556
36,Steller's jay,Cyanocitta stelleri,0.999,1,10948.39,10960.39,audio/test1.flac,Modoc,41.6638,-120.97169,2026-02-05,4653
37,Northern flicker 'skew',Colaptes auratus,0.632,2,11561.16,11573.16,audio/test1.flac,Monterey,36.08785,-120.9508,2026-04-14,4653
38,Sooty grouse,Dendragapus fuliginosus,0.707,1,2421.6,2433.6,,Placer,39.01691,-120.36661,2026-04-22,2452
39,Common nighthawk boom,Chordeiles minor,0.934,2,2072.41,2084.41,,Mendocino,39.53847,-123.48356,2026-01-01,9874
40,Wrentit,Chamaea fasciata,0.66,1,10170.06,10182.06,,Del Norte,41.69781,-123.58797,2026-04-08,2212
41,Swainson's thrush,Catharus ustulatus,0.989,3,10448.92,10460.92,audio/test2.flac,San Diego,32.68954,-116.09102,2026-04-14,3332
42,Dog barks,NA,0.275,1,798.3,810.3,audio/test1.flac,El Dorado,38.57238,-120.16915,2026-01-21,1556
43,Great horned owl,Bubo virginianus,0.495,1,10860.22,10872.22,,Alpine,38.64136,-120.18521,2026-03-31,2212
44,Hermit thrush,Catharus guttatus,0.935,1,5447.07,5459.07,audio/test1.flac,Modoc,41.35896,-121.31382,2026-02-24,2212
45,Steller's jay,Cyanocitta stelleri,0.842,3,2876.17,2888.17,audio/test3.flac,Sacramento,38.3353,-121.70906,2026-02-13,1556
