id,common_name,scientific_name,confidence,rank,start_time,end_time,audio_path,county,lat,lon
1,Downy woodpecker call,Dryobates pubescens,0.569,2,6510.75,6522.75,audio/test1.flac,Riverside,33.50293,-116.18645
2,Sooty grouse,Dendragapus fuliginosus,0.928,1,13551.82,13563.82,,Mendocino,39.38366,-122.90561
3,Marbled murrelet,Brachyramphus marmoratus,0.912,3,617.83,629.83,audio/test2.flac,Fresno,36.48438,-118.67186
4,Swainson's thrush,Catharus ustulatus,0.999,3,5390.23,5402.23,,Shasta,40.36809,-121.46542
5,Wrentit,Chamaea fasciata,0.898,2,5171.23,5183.23,,San Luis Obispo,35.49596,-120.25082
6,Woodpecker spp. drum,NA,0.666,3,12534.84,12546.84,audio/test1.flac,Contra Costa,37.88408,-121.69255
7,Wolf howl,Canis lupus,0.569,2,2589.53,2601.53,audio/test3.flac,Santa Cruz,36.86645,-122.3102
8,Steller's jay,Cyanocitta stelleri,0.495,2,6183.47,6195.47,audio/test3.flac,Sonoma,38.55296,-122.56687
9,Northern flicker 'skew',Colaptes auratus,0.846,3,5920.33,5932.33,,Ventura,34.06764,-119.16735
10,Swainson's thrush,Catharus ustulatus,0.888,1,14094.95,14106.95,,Tulare,36.43807,-118.24354
11,Northern flicker 'skew',Colaptes auratus,0.794,2,2496.47,2508.47,audio/test1.flac,Contra Costa,38.02982,-122.27371
12,Olive-sided flycatcher,Contopus cooperi,0.795,3,3631.58,3643.58,audio/test1.flac,Sutter,39.05679,-121.46411
13,Sooty grouse,Dendragapus fuliginosus,0.838,2,65.83,77.83,,Tehama,40.3233,-122.16516
14,Woodpecker spp. drum,NA,0.794,1,8551.58,8563.58,audio/test3.flac,Sonoma,38.34901,-122.80104
15,Common nighthawk boom,Chordeiles minor,0.866,3,13314.72,13326.72,audio/test1.flac,San Francisco,37.71215,-122.36313
16,Common raven,Corvus corax,0.755,3,8752.25,8764.25,audio/test2.flac,Mendocino,38.90919,-123.05007
17,Marbled murrelet,Brachyramphus marmoratus,0.838,2,9700.81,9712.81,audio/test1.flac,San Francisco,37.70837,-122.463
18,Wolf howl,Canis lupus,0.707,3,12587.86,12599.86,audio/test2.flac,Los Angeles,34.45436,-117.84325
19,Great horned owl,Bubo virginianus,0.373,3,11985.85,11997.85,audio/test2.flac,Yolo,38.454,-122.03316
20,Northern flicker series,Colaptes auratus,0.743,1,7552.45,7564.45,,Tuolumne,38.35875,-119.85844
21,Dog barks,NA,0.05,2,8762.92,8774.92,audio/test3.flac,Santa Cruz,36.93728,-122.25388
22,Steller's jay,Cyanocitta stelleri,0.594,2,5092.2,5104.2,audio/test2.flac,Humboldt,40.82598,-123.74777
23,Wolf howl,Canis lupus,0.857,2,4481.79,4493.79,,San Francisco,37.82959,-122.46587
24,Olive-sided flycatcher,Contopus cooperi,0.909,3,10850.23,10862.23,audio/test3.flac,Sacramento,38.72869,-121.76102
25,Sooty grouse,Dendragapus fuliginosus,0.999,1,13269.32,13281.32,audio/test2.flac,San Joaquin,38.27436,-121.19673
26,Great horned owl,Bubo virginianus,0.673,3,1195.16,1207.16,audio/test1.flac,Tulare,35.83141,-118.35236
27,Wrentit,Chamaea fasciata,0.664,1,3332.51,3344.51,audio/test1.flac,Inyo,36.42453,-118.46402
28,Olive-sided flycatcher,Contopus cooperi,0.671,1,4214.94,4226.94,audio/test3.flac,San Mateo,37.55031,-122.32251
29,Northern flicker 'skew',Colaptes auratus,0.894,1,11380.65,11392.65,audio/test1.flac,Mariposa,37.72756,-119.26526
30,Downy woodpecker call,Dryobates pubescens,0.73,3,2624.32,2636.32,,Plumas,40.0265,-120.40518
31,Olive-sided flycatcher,Contopus cooperi,0.999,3,5763.69,5775.69,audio/test1.flac,San Luis Obispo,35.20216,-119.55583
32,Wrentit,Chamaea fasciata,0.714,1,11825.51,11837.51,audio/test1.flac,Madera,36.79617,-120.23181
33,Dog barks,NA,0.334,2,6193.31,6205.31,audio/test3.flac,Calaveras,38.26666,-120.47739
34,Downy woodpecker call,Dryobates pubescens,0.786,3,5838.54,5850.54,,Mono,37.84071,-118.72152
35,Swainson's thrush,Catharus ustulatus,0.84,3,11994.22,12006.22,audio/test1.flac,Butte,39.96314,-121.84075
36,Steller's jay,Cyanocitta stelleri,0.647,2,3798.2,3810.2,audio/test2.flac,Placer,39.02083,-120.05915
37,Woodpecker spp. drum,NA,0.929,2,3758.53,3770.53,audio/test1.flac,Tuolumne,38.28296,-120.55587
38,Dog barks,NA,0.265,3,11866.79,11878.79,audio/test1.flac,Tulare,36.69415,-119.49699
39,Downy woodpecker call,Dryobates pubescens,0.484,1,10859.23,10871.23,audio/test2.flac,Mono,38.40067,-118.0811
40,Wolf howl,Canis lupus,0.964,1,5751.62,5763.62,audio/test1.flac,Orange,33.51578,-117.45159
41,Great horned owl,Bubo virginianus,0.486,2,6817.12,6829.12,audio/test3.flac,Ventura,34.51822,-118.67118
42,Northern flicker 'skew',Colaptes auratus,0.59,2,7961.01,7973.01,audio/test2.flac,Shasta,40.35611,-122.45603
43,Canada goose,Branta canadensis,0.905,1,12704.03,12716.03,audio/test2.flac,Nevada,39.61115,-121.07363
44,Canada goose,Branta canadensis,0.938,3,9659.01,9671.01,audio/test2.flac,Amador,38.25042,-120.7327
45,Common nighthawk boom,Chordeiles minor,0.898,1,4959.97,4971.97,audio/test1.flac,Marin,37.97734,-122.42982
46,Common nighthawk boom,Chordeiles minor,0.884,1,14381.16,14393.16,audio/test1.flac,Del Norte,41.9984,-123.72094
47,Swainson's thrush,Catharus ustulatus,0.584,3,8150.12,8162.12,,Inyo,35.83556,-118.57232
48,Common nighthawk boom,Chordeiles minor,0.61,2,8690.73,8702.73,audio/test1.flac,El Dorado,38.49898,-120.17293
49,Northern flicker 'skew',Colaptes auratus,0.84,3,10597.91,10609.91,,Madera,37.15614,-119.28244
50,Common nighthawk boom,Chordeiles minor,0.999,3,9595.62,9607.62,,Marin,38.04509,-123.02873
