,index,common_name,scientific_name,count
0,121,Pacific-slope Flycatcher,Empidonax difficilis,1661
1,150,Spotted Towhee,Pipilo maculatus,1437
2,28,California Towhee,Melozone crissalis,1436
3,156,Tree Swallow,Tachycineta bicolor,906
4,180,Yellow-breasted Chat,Icteria virens,327
5,12,Bewick's Wren,Thryomanes bewickii,251
6,148,Spotted Crake,Porzana porzana,162
7,91,Hermit Thrush,Catharus guttatus,121
8,10,Bell's Vireo,Vireo bellii,105
9,85,Great Horned Owl,Bubo virginianus,103
10,62,Engine,Engine,84
11,81,Gray Flycatcher,Empidonax wrightii,75
12,163,Western Bluebird,Sialia mexicana,72
13,45,Collared Towhee,Pipilo ocai,71
14,5,Ash-throated Flycatcher,Myiarchus cinerascens,64
15,106,Marbled Murrelet,Brachyramphus marmoratus,62
16,178,Wrentit,Chamaea fasciata,61
17,36,Chestnut-backed Chickadee,Poecile rufescens,55
18,24,Brown-headed Cowbird,Molothrus ater,45
19,27,California Scrub-Jay,Aphelocoma californica,43
20,26,California Quail,Callipepla californica,43
21,56,Corn Crake,Crex crex,42
22,58,Dark-eyed Junco,Junco hyemalis,41
23,51,Common Raven,Corvus corax,35
24,151,Steller's Jay,Cyanocitta stelleri,27
25,96,Hutton's Vireo,Vireo huttoni,27
26,120,Pacific Chorus Frog,Hyliola regilla,24
27,4,Anna's Hummingbird,Calypte anna,22
28,144,Song Sparrow,Melospiza melodia,20
29,17,Black-headed Grosbeak,Pheucticus melanocephalus,20
30,138,Say's Phoebe,Sayornis saya,19
31,20,Blue-headed Vireo,Vireo solitarius,18
32,116,Nuttall's Woodpecker,Dryobates nuttallii,18
33,1,Akohekohe,Palmeria dolei,17
34,47,Common Greenshank,Tringa nebularia,17
35,8,Barn Owl,Tyto alba,17
36,63,Eurasian Bullfinch,Pyrrhula pyrrhula,15
37,80,Grasshopper Sparrow,Ammodramus savannarum,14
38,25,Bushtit,Psaltriparus minimus,14
39,75,Fireworks,Fireworks,13
40,167,Western Tanager,Piranga ludoviciana,13
41,161,Warbling Vireo,Vireo gilvus,13
42,131,Rock Wren,Salpinctes obsoletus,12
43,124,Pine Warbler,Setophaga pinus,11
44,7,Baltimore Oriole,Icterus galbula,10
45,147,Southern Wood Cricket,Gryllus fultoni,10
46,107,Marsh Tit,Poecile palustris,9
47,117,Oak Titmouse,Baeolophus inornatus,9
48,154,Tawny Owl,Strix aluco,8
49,64,Eurasian Collared-Dove,Streptopelia decaocto,8
50,182,Yellowhammer,Emberiza citrinella,8
51,50,Common Poorwill,Phalaenoptilus nuttallii,7
52,6,Bachman's Sparrow,Peucaea aestivalis,7
53,92,Hermit Warbler,Setophaga occidentalis,7
54,114,Northern Mockingbird,Mimus polyglottos,7
55,15,Black Phoebe,Sayornis nigricans,7
56,67,Eurasian Green Woodpecker,Picus viridis,7
57,166,Western Screech-Owl,Megascops kennicottii,7
58,109,Mistle Thrush,Turdus viscivorus,6
59,100,Lesser Goldfinch,Spinus psaltria,6
60,101,Lesser Spotted Woodpecker,Dryobates minor,6
61,179,Yellow Warbler,Setophaga petechia,5
62,41,Clark's Nutcracker,Nucifraga columbiana,5
63,31,Carolina Wren,Thryothorus ludovicianus,5
64,59,Downy Woodpecker,Dryobates pubescens,5
65,165,Western Kingbird,Tyrannus verticalis,5
66,157,Tropical Mockingbird,Mimus gilvus,4
67,88,Handsome Meadow Katydid,Orchelimum pulchellum,4
68,142,Short-winged Meadow Katydid,Conocephalus brevipennis,4
69,54,Common Yellowthroat,Geothlypis trichas,4
70,95,House Finch,Haemorhous mexicanus,4
71,21,Blue-throated Mountain-gem,Lampornis clemenciae,3
72,53,Common Virtuoso Katydid,Amblycorypha longinicta,3
73,33,Cedar Waxwing,Bombycilla cedrorum,3
74,134,Rufous Scrub-bird,Atrichornis rufescens,3
75,137,Savi's Warbler,Locustella luscinioides,3
76,104,Long-eared Owl,Asio otus,3
77,169,White-browed Antpitta,Hylopezus ochroleucus,3
78,170,White-crowned Sparrow,Zonotrichia leucophrys,3
79,145,Song Thrush,Turdus philomelos,3
80,174,Wild Turkey,Meleagris gallopavo,3
81,43,Clicker Round-winged Katydid,Amblycorypha alexanderi,3
82,172,White-sided Flowerpiercer,Diglossa albilatera,3
83,76,Flammulated Owl,Psiloscops flammeolus,3
84,152,Striped Cuckoo,Tapera naevia,3
85,16,Black-chinned Sparrow,Spizella atrogularis,3
86,123,Pine Siskin,Spinus pinus,2
87,125,Pinyon Jay,Gymnorhinus cyanocephalus,2
88,126,Pygmy Cupwing,Pnoepyga pusilla,2
89,115,Northern Saw-whet Owl,Aegolius acadicus,2
90,158,Tufted Titmouse,Baeolophus bicolor,2
91,111,Nelson's Sparrow,Ammospiza nelsoni,2
92,160,Violet-green Swallow,Tachycineta thalassina,2
93,3,American Goldfinch,Spinus tristis,2
94,105,Lucy's Warbler,Leiothlypis luciae,2
